URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/CodeSystem/medicationrequest-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.1378",medicationRequest Intent,Medication request  intent,"MedicationRequest Intent Codes","ValueSet/medicationrequest-intent"
http://hl7.org/fhir/CodeSystem/medicationrequest-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1377",medicationrequest Status,Medicationrequest  status,"MedicationRequest Status Codes","ValueSet/medicationrequest-status"
http://hl7.org/fhir/address-type,4.0.1,active,"2.16.840.1.113883.4.642.4.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,4.0.1,active,"2.16.840.1.113883.4.642.4.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/allergy-intolerance-category,4.0.1,draft,"2.16.840.1.113883.4.642.4.134",AllergyIntoleranceCategory,AllergyIntoleranceCategory,"Category of an identified substance associated with allergies or intolerances.","ValueSet/allergy-intolerance-category"
http://hl7.org/fhir/allergy-intolerance-criticality,4.0.1,draft,"2.16.840.1.113883.4.642.4.130",AllergyIntoleranceCriticality,AllergyIntoleranceCriticality,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","ValueSet/allergy-intolerance-criticality"
http://hl7.org/fhir/allergy-intolerance-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.132",AllergyIntoleranceType,AllergyIntoleranceType,"Identification of the underlying physiological mechanism for a Reaction Risk.","ValueSet/allergy-intolerance-type"
http://hl7.org/fhir/care-plan-activity-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.147",CarePlanActivityStatus,CarePlanActivityStatus,"Codes that reflect the current state of a care plan activity within its overall life cycle.","ValueSet/care-plan-activity-status"
http://hl7.org/fhir/care-team-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.154",CareTeamStatus,CareTeamStatus,"Indicates the status of the care team.","ValueSet/care-team-status"
http://hl7.org/fhir/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.4.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/contact-point-system"
http://hl7.org/fhir/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.4.74",ContactPointUse,ContactPointUse,"Use of contact point.","ValueSet/contact-point-use"
http://hl7.org/fhir/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.4.513",DaysOfWeek,DaysOfWeek,"The days of the week.","ValueSet/days-of-week"
http://hl7.org/fhir/encounter-location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.263",EncounterLocationStatus,EncounterLocationStatus,"The status of the location.","ValueSet/encounter-location-status"
http://hl7.org/fhir/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.247",EncounterStatus,EncounterStatus,"Current state of the encounter.","ValueSet/encounter-status"
http://hl7.org/fhir/episode-of-care-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.665",EpisodeOfCareStatus,EpisodeOfCareStatus,"The status of the episode of care.","ValueSet/episode-of-care-status"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/immunization-status,ValueSet/event-status"
http://hl7.org/fhir/event-timing,4.0.1,active,"2.16.840.1.113883.4.642.4.76",EventTiming,EventTiming,"Real world event relating to the schedule.","ValueSet/event-timing"
http://hl7.org/fhir/group-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.285",GroupType,GroupType,"Types of resources that are part of group.","ValueSet/group-type"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/link-type,4.0.1,active,"2.16.840.1.113883.4.642.4.424",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","ValueSet/link-type"
http://hl7.org/fhir/location-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.331",LocationMode,LocationMode,"Indicates whether a resource instance represents a specific location or a class of locations.","ValueSet/location-mode"
http://hl7.org/fhir/location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.333",LocationStatus,LocationStatus,"Indicates whether the location is still in use.","ValueSet/location-status"
http://hl7.org/fhir/measure-report-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.777",MeasureReportStatus,MeasureReportStatus,"The status of the measure report.","ValueSet/measure-report-status"
http://hl7.org/fhir/measure-report-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.779",MeasureReportType,MeasureReportType,"The type of the measure report.","ValueSet/measure-report-type"
http://hl7.org/fhir/name-use,4.0.1,active,"2.16.840.1.113883.4.642.4.66",NameUse,NameUse,"The use of a human name.","ValueSet/name-use"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/reaction-event-severity,4.0.1,draft,"2.16.840.1.113883.4.642.4.136",AllergyIntoleranceSeverity,AllergyIntoleranceSeverity,"Clinical assessment of the severity of a reaction event as a whole, potentially considering multiple different manifestations.","ValueSet/reaction-event-severity"
http://hl7.org/fhir/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.114",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","ValueSet/request-intent,ValueSet/care-plan-intent"
http://hl7.org/fhir/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/request-priority"
http://hl7.org/fhir/request-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.112",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","ValueSet/request-status"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/care-plan-activity-kind"
